domain_name,registration_date,expiration_date,category,subcategory,status,priority,seo_value,template,notes,target_audience,business_goals,keywords,geographic_focus,industry,hosting,forwarding_url,development_phase,last_updated
thecontractorschoiceagency.com,2018-05-15,2026-05-15,insurance,agency,active,high,80,agency-primary,"Main agency website",insurance_buyers,"Lead generation for agency",insurance agency contractors phoenix,Arizona,insurance,Vercel,N/A,completed,2025-03-01
contractorinsurance.io,2019-08-22,2025-08-22,insurance,contractor_insurance,planning,high,85,lead-gen,"High-value domain for contractor insurance",contractors,"Lead generation for contractor insurance",contractor insurance bonds license,National,insurance,None,N/A,planning,2025-03-05
wakeboatinsurance.com,2020-03-10,2026-03-10,insurance,specialty_vehicle,active,medium,70,specialty,"Specialty boat insurance niche",boat_owners,"Generate leads for specialty insurance",wake boat insurance pontoon,National,recreation,None,thecontractorschoiceagency.com,forwarding,2025-03-02
barndominiuminsurance.com,2021-01-05,2027-01-05,insurance,property_type,active,high,75,property,"Barndominium insurance specialty",property_owners,"Specialty property insurance leads",barndominium insurance rural property,Rural,property,None,thecontractorschoiceagency.com,forwarding,2025-03-02
sprayfoaminstitute.com,2019-11-12,2025-11-12,construction,spray_foam,planning,high,80,educational,"Educational site for spray foam industry",contractors,"Authority site for industry education",spray foam certification training education,National,construction,None,N/A,planning,2025-03-05
arizonaenergyauditor.com,2018-07-20,2026-07-20,construction,energy,planning,medium,65,local-service,"Local energy audit service",homeowners,"Local service leads",energy audit home efficiency arizona,Arizona,energy,None,N/A,planning,2025-03-05
puroseguro.com,2017-09-18,2025-09-18,insurance,spanish,planning,high,90,spanish,"Spanish language insurance site",spanish_speakers,"Spanish market insurance leads",seguro contratista construcción español,National,insurance,None,N/A,planning,2025-03-05
virtualinsuranceagent.io,2022-02-28,2025-02-28,digital,virtual_services,planning,low,60,innovation,"Virtual agent concept",tech_savvy,"Innovative insurance delivery",virtual agent insurance AI digital,National,insurtech,None,N/A,concept,2025-03-05
sprayfoamrooferarizona.com,2020-05-22,2026-05-22,construction,roofing,planning,medium,70,local-service,"Local spray foam roofing",arizona_homeowners,"Local roofing leads",spray foam roof arizona phoenix,Arizona,roofing,None,N/A,planning,2025-03-05
vegassprayfoam.com,2021-03-15,2025-03-15,construction,spray_foam,planning,medium,65,local-service,"Las Vegas spray foam services",vegas_homeowners,"Local service leads",spray foam insulation las vegas nevada,Nevada,construction,None,N/A,planning,2025-03-05
unmannedaircraftsystemsinsurance.com,2019-10-05,2025-10-05,insurance,specialty,planning,low,60,specialty,"Drone insurance specialty",drone_operators,"Specialty insurance leads",drone insurance UAV UAS coverage,National,aviation,None,N/A,planning,2025-03-05
contractorinsuranceschool.com,2021-07-10,2025-07-10,insurance,education,planning,medium,75,educational,"Educational resource for contractors",contractors,"Lead generation through education",contractor insurance education certificate,National,insurance,None,N/A,planning,2025-03-05
on-chaininsurance.com,2022-01-15,2025-01-15,insurance,blockchain,concept,low,50,innovation,"Blockchain insurance concept",crypto_users,"Innovation showcase",blockchain crypto insurance web3 defi,Global,insurtech,None,N/A,concept,2025-03-05
roofmetaverse.com,2022-01-20,2025-01-20,digital,metaverse,concept,low,40,innovation,"Metaverse roofing concept",tech_enthusiasts,"Brand innovation",metaverse virtual construction roofing,Global,technology,None,N/A,concept,2025-03-05
glamisinsurance.com,2020-08-05,2026-08-05,insurance,recreation,planning,medium,65,specialty,"Glamis recreation area insurance",off_roaders,"Specialty insurance leads",glamis dunes off road insurance atv,California,recreation,None,N/A,planning,2025-03-05
celluloseinsulationremoval.com,2019-05-10,2025-05-10,construction,insulation,planning,medium,70,service,"Cellulose insulation removal service",homeowners,"Service leads for insulation removal",cellulose insulation removal replace,National,insulation,None,N/A,planning,2025-03-05
offratiopodcast.com,2022-06-15,2025-06-15,content,podcast,active,low,50,content,"Insurance industry podcast",industry_professionals,"Brand building content",insurance podcast industry trends,National,insurance,Vercel,N/A,operational,2025-03-05
