domain_name,registration_date,expiration_date,category,subcategory,status,priority,seo_value,template,notes,target_audience,business_goals,keywords,geographic_focus,industry,hosting,forwarding_url,development_phase,last_updated
accountreceivablesinsurance.com,2022-01-01,2025-01-01,insurance,specialty,not_active,medium,50,specialty,"Insurance for accounts receivable protection",business_owners,"Specialty insurance leads",accounts receivable insurance protection,National,finance,None,N/A,planning,2025-03-09
ahwatukeeinsurance.com,2022-01-01,2025-01-01,geographic,arizona,not_active,medium,60,local-service,"Ahwatukee AZ insurance agency",local_residents,"Local insurance leads",ahwatukee insurance arizona phoenix,Arizona,insurance,None,N/A,planning,2025-03-09
ahwatukeemortgages.com,2022-01-01,2025-01-01,finance,mortgage,not_active,low,55,local-service,"Ahwatukee AZ mortgage services",home_buyers,"Local mortgage leads",ahwatukee mortgages home loans arizona,Arizona,finance,None,N/A,planning,2025-03-09
americanmadeinsurance.com,2022-01-01,2025-01-01,insurance,specialty,not_active,medium,65,specialty,"Insurance for American-made products",manufacturers,"Specialty insurance leads",american made usa manufacturing insurance,National,manufacturing,None,N/A,planning,2025-03-09
arizonaalpineacademy.com,2022-01-01,2025-01-01,educational,specialty,not_active,low,40,educational,"Alpine training academy",outdoor_enthusiasts,"Niche educational site",alpine climbing mountaineering arizona,Arizona,outdoor_recreation,None,N/A,planning,2025-03-09
arizonabarndo.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,70,local-service,"Arizona barndominium construction",property_owners,"Lead generation for construction",barndominium barn construction arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonabarndominium.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,75,local-service,"Arizona barndominium construction and information",property_owners,"Lead generation for construction",barndominium barn home construction arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonacommercialroofing.com,2022-01-01,2025-01-01,construction,roofing,not_active,high,80,local-service,"Commercial roofing services in Arizona",business_owners,"Commercial roofing leads",commercial roofing flat roof arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonaconcretelifting.com,2022-01-01,2025-01-01,construction,concrete,not_active,medium,70,local-service,"Concrete lifting and leveling services",property_owners,"Service leads for concrete work",concrete lifting leveling repair arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonaenergyauditor.com,2018-07-20,2026-07-20,construction,energy,not_active,medium,65,local-service,"Local energy audit service",homeowners,"Local service leads",energy audit home efficiency arizona,Arizona,energy,None,N/A,planning,2025-03-05
arizonahoodventcleaning.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,60,local-service,"Hood vent cleaning services",business_owners,"Service leads for hood cleaning",hood vent exhaust cleaning arizona restaurant,Arizona,maintenance,None,N/A,planning,2025-03-09
